,obsnme,obsval,weight,obgnme
oname:cum_otype:lst_usecol:chd2_totim:1,oname:cum_otype:lst_usecol:chd2_totim:1,184.77571,0.0,oname:cum_otype:lst_usecol:chd2
oname:cum_otype:lst_usecol:chd_totim:1,oname:cum_otype:lst_usecol:chd_totim:1,-392.82166,0.0,cum
oname:cum_otype:lst_usecol:drn_totim:1,oname:cum_otype:lst_usecol:drn_totim:1,-127000.0,2.62e-05,oname:cum_otype:lst_usecol:drn
oname:cum_otype:lst_usecol:in-out_totim:1,oname:cum_otype:lst_usecol:in-out_totim:1,-258.4432,0.0,oname:cum_otype:lst_usecol:in-out
oname:cum_otype:lst_usecol:percent-discrepancy_totim:1,oname:cum_otype:lst_usecol:percent-discrepancy_totim:1,-5.97,0.0,oname:cum_otype:lst_usecol:percent-discrepancy
oname:cum_otype:lst_usecol:rcha_totim:1,oname:cum_otype:lst_usecol:rcha_totim:1,233.0,0.0143,oname:cum_otype:lst_usecol:rcha
oname:cum_otype:lst_usecol:total_totim:1,oname:cum_otype:lst_usecol:total_totim:1,-258.44336,0.0,oname:cum_otype:lst_usecol:total
oname:cum_otype:lst_usecol:wel2_totim:1,oname:cum_otype:lst_usecol:wel2_totim:1,2760.0,0.00121,oname:cum_otype:lst_usecol:wel2
oname:cum_otype:lst_usecol:wel3_totim:1,oname:cum_otype:lst_usecol:wel3_totim:1,-684.0,0.0,oname:cum_otype:lst_usecol:wel3
oname:cum_otype:lst_usecol:wel_totim:1,oname:cum_otype:lst_usecol:wel_totim:1,137.0,0.0122,oname:cum_otype:lst_usecol:wel
oname:springobs_otype:lst_usecol:pk2_head_kper:0,oname:springobs_otype:lst_usecol:pk2_head_kper:0,10.592992865563751,0.0,oname:springobs_otype:lst_usecol:pk2_head
oname:springobs_otype:lst_usecol:pk4_head_kper:0,oname:springobs_otype:lst_usecol:pk4_head_kper:0,10.435150763586558,0.0,oname:springobs_otype:lst_usecol:pk4_head
oname:springobs_otype:lst_usecol:pk4_pk2_diff_kper:0,oname:springobs_otype:lst_usecol:pk4_pk2_diff_kper:0,-0.1578421019771934,0.0,oname:springobs_otype:lst_usecol:pk4_pk2_diff
oname:springobs_otype:lst_usecol:spring_flux_kper:0,oname:springobs_otype:lst_usecol:spring_flux_kper:0,-3.9947313901918733,0.0,oname:springobs_otype:lst_usecol:spring_flux
oname:springobs_otype:lst_usecol:spring_head_kper:0,oname:springobs_otype:lst_usecol:spring_head_kper:0,7.7829473444194965,0.0,springobs
oname:springobs_otype:lst_usecol:spring_pk2_diff_kper:0,oname:springobs_otype:lst_usecol:spring_pk2_diff_kper:0,-2.8100455211442545,0.0,oname:springobs_otype:lst_usecol:spring_pk2_diff
oname:springobs_otype:lst_usecol:spring_pk4_diff_kper:0,oname:springobs_otype:lst_usecol:spring_pk4_diff_kper:0,-2.652203419167061,0.0,oname:springobs_otype:lst_usecol:spring_pk4_diff
oname:springobs_otype:lst_usecol:spring-head_kper:0,,7.65,0.4357298474945534,
oname:springobs_otype:lst_usecol:pk2-head_kper:0,,7.6,0.4385964912280702,
oname:springobs_otype:lst_usecol:pk4-head_kper:0,,7.8,0.4273504273504274,
oname:springobs_otype:lst_usecol:spring-pk4-diff_kper:0,,-0.15,-22.22222222222222,
oname:springobs_otype:lst_usecol:spring-pk2-diff_kper:0,,0.05,66.66666666666667,
oname:springobs_otype:lst_usecol:pk4-pk2-diff_kper:0,,-0.2,-16.666666666666668,
oname:springobs_otype:lst_usecol:spring-flux_kper:0,,-3.0,-1.1111111111111112,
