Unnamed: 0,time,kper,kstp,time.1,pk4head,confhead,awswhead,pwswhead,springhead,awgwhead,pwgwhead,pk4confdiff,pk4springdiff,pk4awswdiff,pk4pwswdiff,pk4awgwdiff,pk4pwgwdiff,awswgwdiff,pwswgwdiff,firstnegday,springcum,springq,pwtot,pwcum,pwq,awcum,awq,awtot
0,1.0,1,1,1.0,7.8,13.5,8.952001,6.517,7.59,10.403749076836878,7.74964675924376,-5.7,0.20999999999999996,-1.165079961431931,1.269921038568068,-2.6168280382688094,0.0372742793243086,0,0,-1,-150,-3,-5689.873561199999,-56.788963838832046,-0.1506467592437594,-65789.13679865454,-3.180749076836878,-71629.01035985454
1,2.0,2,1,2.0,7.757539183583268,13.952078947368422,7.834090874758633,8.159666369120279,7.593456666666666,10.16270986483749,7.664805612412722,-6.194539763785154,0.16408251691660247,-0.1322113233540927,-0.4577868177157382,-2.460830313432949,0.0370739389918188,0,0,30,-150,-3,-5689.873561199999,-308.60656703825674,-7.664805612412722,-65789.13679865454,-10.16270986483749,-71629.01035985454
2,3.0,2,2,3.0,7.753844356053671,13.903105263157896,7.828749965667725,8.15849970245361,7.592813939999999,9.92730875742177,7.580925698902925,-6.149260907104225,0.16103041605367174,-0.2109779156397673,-0.5407276524256535,-2.3095367073938124,0.0368463511250318,0,0,30,-150,-3,-5563.161887849999,-302.9165305458752,-7.580925698902925,-64586.19866534999,-9.92730875742177,-70299.3605532
3,4.0,2,3,4.0,7.746707288524073,13.854131578947367,7.823461504129263,8.157799702453612,7.591650543999999,9.697413231603395,7.497996120490328,-6.107424290423294,0.1550567445240736,-0.2888732279639736,-0.6232114262883233,-2.162824955438108,0.0365921556749615,0,0,30,-150,-3,-5487.134883839999,-297.4499872295819,-7.497996120490328,-63351.360717267686,-9.697413231603395,-68988.49560110769
4,5.0,2,4,5.0,7.7386282209944754,13.805157894736842,7.814642822810581,8.156399702453612,7.590178151999999,9.472893887274118,7.416006102573655,-6.066529673742367,0.14845006899447633,-0.3623247384706403,-0.7040816181136718,-2.020575802934178,0.0363119817662855,0,0,30,-150,-3,-5334.5991042,-292.19153065637136,-7.416006102573655,-61347.049583828564,-9.472893887274118,-66831.64868802857
5,6.0,2,5,6.0,7.729140513464879,13.756184210526316,7.805599965667724,8.154999702453612,7.588941303999999,9.253624373509638,7.334944992771427,-6.027043697061437,0.14019920946488007,-0.4346485250406706,-0.7840482618265581,-1.882672932882584,0.0360064478556267,0,0,30,-150,-3,-5183.0188308,-287.1270802463452,-7.334944992771427,-59317.30003536,-9.253624373509638,-64650.31886616
6,7.0,2,6,7.0,7.72698268593528,13.707210526315787,7.797437465667724,8.153999702453612,7.586588423999999,9.03948131661604,7.254802259534924,-5.980227840380508,0.14039426193528026,-0.5069590442450451,-0.8635212810309332,-1.7490028951933612,0.0356761618877552,0,0,30,-150,-3,-5075.28364104,-282.2437591752169,-7.254802259534924,-57462.262528485,-9.03948131661604,-62687.546169525
7,8.0,2,7,8.0,7.728865578405682,13.658236842105264,7.789647024491254,8.153399702453612,7.585417735999999,8.830344249875628,7.175567490776884,-5.929371263699582,0.1434478424056831,-0.5787578122646222,-0.9425104902269804,-1.6194550376489962,0.0353217214497476,0,0,30,-150,-3,-5010.6483104399995,-277.529783804781,-7.175567490776884,-55668.97614205412,-8.830344249875628,-60829.624452494114
8,9.0,2,8,9.0,7.718048350876085,13.609263157894738,7.783833299001058,8.149799702453612,7.584295519999999,8.626095544952008,7.097230392515778,-5.8912148070186525,0.13375283087608647,-0.6516591925621658,-1.0176255960147191,-1.493921438513116,0.0349437139231145,0,0,30,-150,-3,-4640.21396208,-272.97436353866874,-7.097230392515778,-54628.08897372,-8.626095544952008,-59418.3029358
9,10.0,2,9,10.0,7.708480243346486,13.560289473684213,7.780210491983514,8.145199702453612,7.583276055999999,8.426620344915227,7.019780787535478,-5.851809230337727,0.12520418734648686,-0.7258869878141105,-1.0908761982842083,-1.3722968407458236,0.0345427166339256,0,0,30,-150,-3,-4178.222854199999,-268.5676101071169,-7.019780787535478,-54187.843931021045,-8.426620344915227,-58516.066785221046
