kper,kstp,time,k,i,j,AWq,weight,std
1,1,1.0,0,2,46,0,0.3333333333333333,3.0
1,1,1.0,0,3,46,0,0.3333333333333333,3.0
1,1,1.0,0,4,46,0,0.3333333333333333,3.0
1,1,1.0,0,5,45,0,0.3333333333333333,3.0
1,1,1.0,0,6,45,0,0.3333333333333333,3.0
1,1,1.0,0,7,44,0,0.3333333333333333,3.0
1,1,1.0,0,8,43,0,0.3333333333333333,3.0
1,1,1.0,0,8,54,0,0.3333333333333333,3.0
1,1,1.0,0,9,43,0,0.3333333333333333,3.0
1,1,1.0,0,9,52,0,0.3333333333333333,3.0
1,1,1.0,0,9,53,0,0.3333333333333333,3.0
1,1,1.0,0,10,42,0,0.3333333333333333,3.0
1,1,1.0,0,10,50,0,0.3333333333333333,3.0
1,1,1.0,0,10,51,0,0.3333333333333333,3.0
1,1,1.0,0,11,42,0,0.3333333333333333,3.0
1,1,1.0,0,11,48,0,0.3333333333333333,3.0
1,1,1.0,0,11,49,0,0.3333333333333333,3.0
1,1,1.0,0,12,9,0,0.3333333333333333,3.0
1,1,1.0,0,12,42,0,0.3333333333333333,3.0
1,1,1.0,0,12,46,0,0.3333333333333333,3.0
1,1,1.0,0,12,47,0,0.3333333333333333,3.0
1,1,1.0,0,13,10,0,0.3333333333333333,3.0
1,1,1.0,0,13,42,0,0.3333333333333333,3.0
1,1,1.0,0,13,44,0,0.3333333333333333,3.0
1,1,1.0,0,13,45,0,0.3333333333333333,3.0
1,1,1.0,0,13,52,0,0.3333333333333333,3.0
1,1,1.0,0,13,53,0,0.3333333333333333,3.0
1,1,1.0,0,13,54,0,0.3333333333333333,3.0
1,1,1.0,0,13,55,0,0.3333333333333333,3.0
1,1,1.0,0,14,10,0,0.3333333333333333,3.0
1,1,1.0,0,14,11,0,0.3333333333333333,3.0
1,1,1.0,0,14,41,0,0.3333333333333333,3.0
1,1,1.0,0,14,42,0,0.3333333333333333,3.0
1,1,1.0,0,14,43,0,0.3333333333333333,3.0
1,1,1.0,0,14,50,0,0.3333333333333333,3.0
1,1,1.0,0,14,51,0,0.3333333333333333,3.0
