,kstp,present_q,past_q,diff
0,ss,-3,-8,-6
1,1,-2.911731025,-8,-5.911731025
2,2,-2.819436341,-8,-5.819436341
3,3,-2.717273264,-8,-5.717273264
4,4,-2.64105046,-8,-5.64105046
5,5,-2.55816303,-8,-5.55816303
6,6,-2.494468586,-8,-5.494468586
7,7,-2.397192156,-8,-5.397192156
8,8,-2.29336498,-8,-5.29336498
9,9,-2.188195621,-8,-5.188195621
10,10,-2.108899047,-8,-5.108899047
11,11,-1.996645321,-8,-4.996645321
12,12,-1.896100664,-8,-4.896100664
13,13,-1.788358934,-8,-4.788358934
14,14,-1.659247299,-8,-4.659247299
15,15,-1.542146757,-8,-4.542146757
16,16,-1.409490968,-8,-4.409490968
17,17,-1.240780609,-8,-4.240780609
18,18,-1.063143812,-8,-4.063143812
19,19,-0.881476327,-8,-3.881476327
20,20,-0.68653222,-8,-3.68653222
21,21,-0.534069867,-8,-3.534069867
22,22,-0.380466543,-8,-3.380466543
23,23,-0.262785926,-8,-3.262785926
24,24,-0.182275303,-8,-3.182275303
25,25,-0.132286728,-8,-3.132286728
26,26,-0.090153669,-8,-3.090153669
27,27,-0.094307655,-8,-3.094307655
28,28,-0.106524134,-8,-3.106524134
29,29,-0.067277231,-8,-3.067277231
30,30,-0.027590727,-8,-3.027590727
31,31,-0.018901499,-8,-3.018901499
32,32,0.001711242,-8,-2.998288758
33,33,0.052245967,-8,-2.947754033
34,34,0.039527809,-8,-2.960472191
35,35,0.000914393,-8,-2.999085607
36,36,0.005637572,-8,-2.994362428
37,37,0.005857389,-8,-2.994142611
38,38,-0.055861963,-8,-3.055861963
39,39,-0.045459291,-8,-3.045459291
40,40,-0.042006325,-8,-3.042006325
41,41,-0.02282961,-8,-3.02282961
42,42,-0.019778281,-8,-3.019778281
43,43,-0.002269845,-8,-3.002269845
44,44,-0.057750475,-8,-3.057750475
45,45,-0.098059157,-8,-3.098059157
46,46,-0.107734403,-8,-3.107734403
47,47,-0.113883125,-8,-3.113883125
48,48,-0.166076015,-8,-3.166076015
49,49,-0.216065272,-8,-3.216065272
50,50,-0.272240243,-8,-3.272240243
51,51,-0.333437824,-8,-3.333437824
52,52,-0.333437824,-8,-3.333437824
