i,j,head,kper,kstp
0,0,10.196240425109863,1,1
0,1,10.35571002960205,1,1
0,2,10.439593315124512,1,1
0,3,10.675191879272461,1,1
0,4,9.281099319458008,1,1
0,5,10.440329551696777,1,1
0,6,10.406438827514648,1,1
0,7,10.625542640686035,1,1
0,8,10.707356452941895,1,1
0,9,10.770438194274902,1,1
0,10,10.849921226501465,1,1
0,11,10.940485954284668,1,1
0,12,11.236148834228516,1,1
0,13,11.229042053222656,1,1
0,14,11.216995239257812,1,1
0,15,11.180566787719727,1,1
0,16,11.20939826965332,1,1
0,17,11.077803611755371,1,1
0,18,11.057476997375488,1,1
0,19,11.09361457824707,1,1
0,20,11.109865188598633,1,1
0,21,11.128499031066895,1,1
0,22,11.398858070373535,1,1
0,23,11.13458251953125,1,1
0,24,11.0531005859375,1,1
0,25,11.076175689697266,1,1
0,26,11.040287971496582,1,1
0,27,11.102956771850586,1,1
0,28,11.065792083740234,1,1
0,29,11.066200256347656,1,1
0,30,10.964950561523438,1,1
0,31,11.009943962097168,1,1
0,32,11.219209671020508,1,1
0,33,10.898884773254395,1,1
0,34,10.710071563720703,1,1
0,35,10.648358345031738,1,1
0,36,10.572222709655762,1,1
0,37,10.466598510742188,1,1
0,38,10.47326374053955,1,1
0,39,10.43276309967041,1,1
0,40,10.391169548034668,1,1
0,41,10.397662162780762,1,1
0,42,10.390839576721191,1,1
0,43,10.291336059570312,1,1
0,44,10.200519561767578,1,1
0,45,10.159040451049805,1,1
0,46,10.067923545837402,1,1
0,47,10.158129692077637,1,1
0,48,10.359885215759277,1,1
0,49,9.792073249816895,1,1
0,50,9.918974876403809,1,1
0,51,9.898179054260254,1,1
0,52,9.897345542907715,1,1
0,53,9.910870552062988,1,1
0,54,9.832653045654297,1,1
0,55,9.57577896118164,1,1
0,56,9.486347198486328,1,1
1,0,10.114263534545898,1,1
1,1,10.323097229003906,1,1
1,2,10.470309257507324,1,1
1,3,10.655473709106445,1,1
1,4,9.243414878845215,1,1
1,5,10.31120491027832,1,1
1,6,10.460806846618652,1,1
1,7,10.544044494628906,1,1
1,8,10.71117115020752,1,1
1,9,10.80375862121582,1,1
1,10,10.820518493652344,1,1
1,11,10.987631797790527,1,1
1,12,11.173397064208984,1,1
1,13,11.321200370788574,1,1
1,14,11.073967933654785,1,1
1,15,11.110881805419922,1,1
1,16,11.123923301696777,1,1
1,17,11.10339641571045,1,1
1,18,11.087603569030762,1,1
1,19,11.07543659210205,1,1
1,20,11.057234764099121,1,1
1,21,11.008737564086914,1,1
1,22,11.088234901428223,1,1
1,23,11.2484130859375,1,1
1,24,11.058712005615234,1,1
1,25,11.054097175598145,1,1
1,26,11.075179100036621,1,1
1,27,11.061118125915527,1,1
1,28,11.01883316040039,1,1
1,29,11.026021957397461,1,1
1,30,10.959565162658691,1,1
1,31,11.241085052490234,1,1
1,32,11.017694473266602,1,1
1,33,10.939481735229492,1,1
1,34,10.753437042236328,1,1
1,35,10.550637245178223,1,1
1,36,10.510583877563477,1,1
1,37,10.402203559875488,1,1
1,38,10.326684951782227,1,1
1,39,10.334515571594238,1,1
1,40,10.262609481811523,1,1
1,41,10.255481719970703,1,1
1,42,10.3057279586792,1,1
1,43,10.341839790344238,1,1
1,44,10.27066707611084,1,1
1,45,10.172740936279297,1,1
1,46,10.062654495239258,1,1
1,47,10.497206687927246,1,1
1,48,10.175729751586914,1,1
1,49,9.921773910522461,1,1
1,50,9.944116592407227,1,1
1,51,9.941011428833008,1,1
1,52,9.89694595336914,1,1
1,53,9.869131088256836,1,1
1,54,9.791534423828125,1,1
1,55,9.701720237731934,1,1
1,56,9.675307273864746,1,1
2,0,10.015114784240723,1,1
2,1,10.255470275878906,1,1
2,2,10.367435455322266,1,1
2,3,10.614274024963379,1,1
2,4,9.241255760192871,1,1
2,5,10.335883140563965,1,1
2,6,10.470253944396973,1,1
2,7,10.634405136108398,1,1
2,8,10.740689277648926,1,1
2,9,10.810654640197754,1,1
2,10,10.863951683044434,1,1
2,11,10.894732475280762,1,1
2,12,10.97311019897461,1,1
2,13,11.129254341125488,1,1
2,14,11.069890022277832,1,1
2,15,11.027482986450195,1,1
2,16,11.0436372756958,1,1
2,17,11.091456413269043,1,1
2,18,11.09287166595459,1,1
2,19,11.074560165405273,1,1
2,20,11.023374557495117,1,1
2,21,10.944437026977539,1,1
2,22,10.959897994995117,1,1
2,23,11.018900871276855,1,1
2,24,11.167759895324707,1,1
