Unnamed: 0,time,kper,kstp,time.1,pk4head,confhead,awswhead,pwswhead,springhead,awgwhead,pwgwhead,pk4confdiff,pk4springdiff,pk4awswdiff,pk4pwswdiff,pk4awgwdiff,pk4pwgwdiff,awswgwdiff,pwswgwdiff,springcum,springq,pwcum,pwq,awcum,awq,pwtot,awtot
0,1,1,1,1,0.05,0,0,0,0,0,0,0.2,0.05,0,0,0,0,1,1,45,3,1.14,0,18450.9,0,1707.3,20236.21
1,11.4,2,1,11.4,0.05,0,0,0,0,0,0,0.2,0.05,0,0,0,0,1,1,45,3,0.74,0,17672.05,0,1117.68,18867.73
2,21.8,2,2,21.8,0.05,0,0,0,0,0,0,0.2,0.05,0,0,0,0,1,1,45,3,0.49,0,9985.18,0,740.86,10804.04
3,32.2,2,3,32.2,0.05,0,0,0,0,0,0,0.2,0.05,0,0,0,0,1,1,45,3,0.44,0,7135.18,0,663.43,7876.61
4,42.6,2,4,42.6,0.05,0,0,0,0,0,0,0.2,0.05,0,0,0,0,1,1,45,3,0.4,0,3886.45,0,606.41,4570.87
5,53,2,5,53,0.05,0,0,0,0,0,0,0.2,0.05,0,0,0,0,1,1,45,3,0.38,0,4338.62,0,564.93,4981.54
6,54,3,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,64.4,4,1,64.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,74.8,4,2,74.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,85.2,4,3,85.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,95.6,4,4,95.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,106,4,5,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
